srcIP,srcPort,dstIP,dstPort,protocol,mean,var,max,min,flowSize
41.177.202.202,53,41.177.98.57,50843,UDP,275.0,0.0,275,275,275
41.177.98.57,50844,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50844,UDP,299.0,0.0,299,299,299
41.177.98.57,50845,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50845,UDP,275.0,0.0,275,275,275
41.177.98.57,50846,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50846,UDP,275.0,0.0,275,275,275
41.43.180.128,80,244.3.160.239,64840,TCP,72.8,4047.3599999999997,200,40,364
41.177.98.57,50847,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50847,UDP,214.0,0.0,214,214,214
30.222.71.108,80,244.3.160.239,64836,TCP,99.16666666666667,16578.138888888887,387,40,595
77.197.210.176,60582,41.177.26.176,80,TCP,76.11111111111111,9868.543209876547,357,40,685
41.177.26.176,80,77.197.210.176,60582,TCP,866.5,367614.65,1500,40,8665
41.106.176.15,40950,41.177.241.46,443,TCP,82.57142857142857,1683.6734693877552,166,40,578
41.177.241.46,443,41.106.176.15,40950,TCP,62.714285714285715,1907.632653061224,166,40,439
41.177.98.57,50848,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50848,UDP,238.0,0.0,238,238,238
41.177.98.57,50849,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50849,UDP,214.0,0.0,214,214,214
41.177.98.57,50850,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50850,UDP,214.0,0.0,214,214,214
244.3.210.90,548,41.177.244.177,49192,TCP,60.0,80.0,70,52,540
244.3.210.90,548,41.177.244.142,49225,TCP,60.0,80.0,70,52,540
41.177.244.177,49192,244.3.210.90,548,TCP,60.888888888888886,63.209876543209866,68,52,548
41.177.244.142,49225,244.3.210.90,548,TCP,60.888888888888886,63.209876543209866,68,52,548
41.177.98.57,50851,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50851,UDP,214.0,0.0,214,214,214
244.3.48.41,5207,244.3.160.239,80,TCP,311.6,290746.2400000001,1390,40,1558
244.3.160.239,80,244.3.48.41,5207,TCP,61.8,1577.7599999999998,141,40,309
244.3.160.239,64842,41.43.180.128,80,TCP,270.8333333333333,262748.13888888893,1417,40,1625
41.177.98.57,50852,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50852,UDP,214.0,0.0,214,214,214
41.177.98.57,50853,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50853,UDP,238.0,0.0,238,238,238
41.177.98.57,50854,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50854,UDP,214.0,0.0,214,214,214
41.177.98.57,50855,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50855,UDP,214.0,0.0,214,214,214
41.177.98.57,50856,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50856,UDP,238.0,0.0,238,238,238
41.177.98.57,50857,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50857,UDP,214.0,0.0,214,214,214
41.177.98.57,50858,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50858,UDP,214.0,0.0,214,214,214
41.43.180.128,80,244.3.160.239,64842,TCP,72.6,3996.6399999999994,199,40,363
41.177.98.57,50859,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50859,UDP,214.0,0.0,214,214,214
41.177.98.57,50860,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50860,UDP,238.0,0.0,238,238,238
41.177.98.57,50861,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50861,UDP,214.0,0.0,214,214,214
41.177.98.57,50862,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50862,UDP,214.0,0.0,214,214,214
41.177.98.57,50863,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50863,UDP,214.0,0.0,214,214,214
41.177.98.57,50864,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50864,UDP,238.0,0.0,238,238,238
41.177.98.57,50865,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50865,UDP,214.0,0.0,214,214,214
41.177.98.57,50866,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50866,UDP,214.0,0.0,214,214,214
41.177.98.57,50867,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50867,UDP,214.0,0.0,214,214,214
244.3.160.248,52250,41.177.26.55,80,TCP,40.0,0.0,40,40,40
41.177.26.55,80,244.3.160.248,52250,TCP,40.0,0.0,40,40,40
41.177.98.57,50868,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50868,UDP,299.0,0.0,299,299,299
41.177.98.57,50869,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50869,UDP,275.0,0.0,275,275,275
41.177.98.57,50870,41.177.202.202,53,UDP,72.0,0.0,72,72,72
41.177.202.202,53,41.177.98.57,50870,UDP,238.0,0.0,238,238,238
41.177.98.57,50871,41.177.202.202,53,UDP,81.0,0.0,81,81,81
41.177.202.202,53,41.177.98.57,50871,UDP,275.0,0.0,275,275,275
41.177.98.57,50872,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50872,UDP,214.0,0.0,214,214,214
41.177.98.57,50873,41.177.202.202,53,UDP,69.0,0.0,69,69,69
41.177.202.202,53,41.177.98.57,50873,UDP,214.0,0.0,214,214,214
151.77.39.25,10302,244.3.160.239,80,TCP,272.6666666666667,213207.5555555555,1300,40,1636
244.3.160.239,80,151.77.39.25,10302,TCP,66.33333333333333,3067.2222222222226,190,40,398
244.3.48.41,12048,244.3.160.239,80,TCP,321.0,253250.33333333334,1420,40,1926
244.3.160.239,80,244.3.48.41,12048,TCP,185.85714285714286,113413.26530612246,1010,40,1301
244.3.160.239,64844,41.43.180.128,80,TCP,284.7142857142857,253213.34693877547,1500,40,1993
41.177.143.106,3576,41.177.3.224,9507,TCP,1420.0,0.0,1420,1420,14200
41.177.3.224,9507,41.177.143.106,3576,TCP,40.0,0.0,40,40,400
41.177.3.224,43840,41.177.117.184,1607,TCP,217.75,20667.6875,369,40,871
41.177.117.184,1607,41.177.3.224,43840,TCP,237.33333333333334,22581.55555555556,429,62,712
41.43.180.128,80,244.3.160.239,64844,TCP,225.33333333333334,170264.8888888889,1148,40,1352
