srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
244.3.153.248,64250,244.3.202.202,53,UDP,63,63,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.153.248,64250,UDP,263,263,0,0,0,0,0,0,0,0,0
41.177.241.108,51204,210.218.218.123,5355,UDP,336,56,56,56,56,56,56,0,0,0,0
244.3.153.248,58775,244.3.202.202,53,UDP,63,63,0,0,0,0,0,0,0,0,0
244.3.202.202,53,244.3.153.248,58775,UDP,190,190,0,0,0,0,0,0,0,0,0
244.3.210.255,1935,68.55.26.255,25,TCP,49958,48,40,64,84,69,46,1500,1500,1500,1500
68.55.26.255,25,244.3.210.255,1935,TCP,2858,48,97,120,78,78,54,40,40,40,40
41.177.211.185,12221,244.3.160.239,80,TCP,1680,48,40,1420,52,40,40,40,0,0,0
244.3.160.239,80,41.177.211.185,12221,TCP,568,48,40,40,271,89,40,40,0,0,0
244.3.160.239,33368,30.222.71.108,80,TCP,1533,48,40,1325,40,40,40,0,0,0,0
41.177.211.185,15636,244.3.160.239,80,TCP,1407,48,40,1159,40,40,40,40,0,0,0
244.3.160.239,80,41.177.211.185,15636,TCP,5224,48,40,374,1420,1177,1420,665,40,40,0
244.3.160.239,33369,30.222.71.108,80,TCP,1340,48,40,1052,40,40,40,40,40,0,0
30.222.71.108,80,244.3.160.239,33368,TCP,515,48,40,387,40,0,0,0,0,0,0
30.222.71.108,80,244.3.160.239,33369,TCP,5213,48,40,1500,1500,1500,585,40,0,0,0
244.3.160.248,47649,41.177.26.211,2641,UDP,106,106,0,0,0,0,0,0,0,0,0
151.77.210.188,7678,244.3.160.239,80,TCP,2497,52,40,1500,305,40,40,40,40,40,40
244.3.160.239,80,151.77.210.188,7678,TCP,27078,52,40,40,1500,833,1500,466,1500,629,890
244.3.160.239,33370,198.123.241.156,80,TCP,2204,48,40,1500,136,40,40,40,40,40,40
41.177.26.211,2641,244.3.160.248,47649,UDP,403,403,0,0,0,0,0,0,0,0,0
68.157.168.121,56902,41.177.26.176,80,TCP,1334,60,52,442,52,52,52,52,52,52,52
41.177.26.176,80,68.157.168.121,56902,TCP,10428,64,52,1500,284,705,283,143,283,286,573
41.177.211.185,8158,244.3.160.239,80,TCP,1363,48,40,1155,40,40,40,0,0,0,0
244.3.160.239,80,41.177.211.185,8158,TCP,633,48,40,372,93,40,40,0,0,0,0
244.3.160.239,33371,30.222.71.108,80,TCP,1256,48,40,1048,40,40,40,0,0,0,0
244.3.160.204,6384,244.3.160.89,443,TCP,252,44,88,40,40,40,0,0,0,0,0
41.177.93.84,1213,244.3.41.84,23,TCP,529,50,40,50,40,129,40,50,40,50,40
244.3.160.89,443,244.3.160.204,6384,TCP,3309,44,40,1500,1500,105,40,40,40,0,0
244.3.160.204,6385,244.3.160.89,2784,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.89,2784,244.3.160.204,6385,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.204,6386,244.3.160.89,2785,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.89,2785,244.3.160.204,6386,TCP,40,40,0,0,0,0,0,0,0,0,0
198.123.241.156,80,244.3.160.239,33370,TCP,26890,48,40,40,40,1500,1500,1500,1500,1500,1500
244.3.160.204,6387,244.3.160.89,4000,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.89,4000,244.3.160.204,6387,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.204,6388,244.3.160.89,4001,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.89,4001,244.3.160.204,6388,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.204,6389,244.3.160.89,4002,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.89,4002,244.3.160.204,6389,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.204,6390,244.3.160.254,443,TCP,164,44,40,40,40,0,0,0,0,0,0
244.3.160.254,443,244.3.160.204,6390,TCP,124,44,40,40,0,0,0,0,0,0,0
244.3.160.204,6391,244.3.160.254,80,TCP,164,44,40,40,40,0,0,0,0,0,0
244.3.160.254,80,244.3.160.204,6391,TCP,124,44,40,40,0,0,0,0,0,0,0
244.3.160.204,6392,244.3.160.254,2784,TCP,44,44,0,0,0,0,0,0,0,0,0
244.3.160.254,2784,244.3.160.204,6392,TCP,40,40,0,0,0,0,0,0,0,0,0
